processedTweet,label
ظهور وبا تنبت العمال الفنية بظهور وبة مشابهة ووضع مصير العالم خطر شهرها فيلم عام 2011,False
فيديو تتنب بـ 9 سنوات والدليل كونتيجن,False
تحدث الصين والخفافيش فيلم كونتيجن تنب بـ 9 سنوات فيديو,False
الفيلم تنب بفيروس كورونا الجديد والنهاية تكن سعيدة شار عشاق فيلم العدوى صدر عام 2011 لى التشابه الفيلم وفيروس كورونا الجديد وفي تعليقاتهم تويتر كتبوا شي يبدو متشابها بشكل مرعب الخفافيش كانت المصدر الفيلم يحدث العالم الحقيقي الن,False
فيلم عدوى ــ انتج عام 2011 وتنب بانتشار فيروس يحكى الفيلم يحدث فى العالم بسبب فيروس يوثق انتشار مرض معد ومميت ينتقل عبر الخفافيش والخنازير ويهدد البشرية ويحتاج العالم انتشاره بالصين يضا,False
فيلم امريكي يتنب بمرض سنوات بالاضافه للبلد ومصدر المرض الخفافيش صدفه ام حرب مدبره,False
فيلم نتاج 2011 فيلم يتنب بفيروس العراض مصدر الفيروس موت الملايين,False
فيلم العدوى عرض سنة 2011 الفيلم تنب بمرض 9سنوات,False
الفيديو المتداول بعنوان الصين بدت بقتل المصابين بفيروس صحيح والحقيقة الفيديو مفبرك وذلك عبر دمج مقاطع مختلفة وستخدام فيديو خر للشرطة وهي تتعامل كلب مسعور,True
مشاهد صادمة تم عدام عدة مصابين بطلاق النار عليهم الشوارع يوجد خبار مكدة حقيقة يجري الحال صبحت مزرية ويرثى,False
انبا صدور اوامر الحزب الشيوعي الحاكم الصين بقتل المصابين بفايروس الكورونا يخرجون منازلهم,False
الصين تقتل المصابين بفيروس الذعر يجتاح السوشيال ميديا فيديوهات مخيفة يتناقلها مستخدمو شبكات التواصل الاجتماعي الفيروس ظهر الصينية وكنك تشاهد فلام رعب للمزيد,False
قتل المصابين بفايروس كرونا شوارع الصين بالسلحة النارية فورا,False
ماوصلني الان يتم قتل المصابين بالفايروس اللهم احم بلادنا وبلاد المسلمين الوبا والافات يارحمن يارحيم مشاهد مرعبة,False
ودي تكد المقطع صحيح الصين بدت تقتل المرضى المصابين بكورونا لاحول ولاقوة لابالله معقوله وصلوا لدرجة,False
بدت عمليات التطهير الصين اي مصاب بفيروس كورونا قتل بالرصاص النظام الشيوعي يتخذ اسهل اجراات التخلص الفيروس بقتل المصابين,False
فيديو متداول الصين بدت قتل المصابين بمرض كورونا,False
الشرطة الصينية تقتل المصابين با حال عدم التجاوب معهم,False
مقطع متداول الصين بدت قتل المرضى المصابين نتمنى انه صحيح,False
الصين بدت قتل المصابين بمرض كورونا,False
الصين بدت بطلاق النار وقتل المصابين بفايروس للحد انتشار الفايروس وخر شي يتغنون بحقوق النسان,False
يقولون الصينيين يقتلون المصابين بكورونا,False
الصين تقتل مواطنيها المصابين محاولة للتخلص الناس المرضى بدلا علاجهم,False
البد بقتل المصابين بفيروس فى,False
شاهد تداول ناشطون فيديو السلطات الصينية وهي تقتل المصابين بمرض,False
بدات الصين بقتل مرضى الكورونا الشوارع,True
الوضعقتل الشارع,False
جل الصين نصلي صورة مسربة مدينة الصين تظهر حجم الناس تنهار الشوارع بسبب,False
صور مسربة مدينة ووهان الصين تظهر حجم الناس تنهار الشوارع بسبب فيروس كورونا نرفع قلوبن وصلونا يارب ارحم,False
لتقطت الصورة اليوم الجمعة لطارة الخطوط الاماراتية مقلعه دبي لى بكين الصين وعلى متنها راكب فقط يحمل الجنسية اليمنيه رايح يشتري بضاعه عرطه ويايمني مايهزك ريح,False
لتقطت الصورة اليوم الجمعة لطارة الخطوط الاماراتية مقلعه دبي لى بكين الصين وعلى متنها راكب فقط يحمل الجنسية اليمنيه رايح يشتري بضاعه عرطه,False
لتقطت الصورة اليوم الجمعة لطارة الخطوط الاماراتية مقلعه دبي لى بكين الصين وعلى متنها راكب فقط يحمل الجنسية اليمنيه رايح يشتري بضاعه عرطه ويايمني مايهزك شي,False
لتقطت الصورة يوم الجمعة لطارة الخطوط الاماراتية مقلعه دبي لى بكين الصين وعلى متنها راكب فقط يحمل الجنسية اليمنيه رايح يشتري بضاعه عرطه واايا يماني مايهزك ريح ادعس واكل بصل وعصيد ومرق حامض,False
يقال الصورة التقطت اليوم الجمعة لطارة الخطوط الاماراتية مقلعة دبي لى بكين الصين وعلى متنها راكب فقط يحمل الجنسية السورية,False
لتقطت الصورة اليوم الجمعة لطارة الخطوط الاماراتية مقلعه دبي لى بكين الصين وعلى متنها راكب فقط يحمل الجنسية السورية,False
لتقطت الصورة يوم الجمعة لطارة الخطوط الاماراتية مقلعه دبي لى بكين الصين وعلى متنها راكب فقط يحمل الجنسية اليمنيه رايح يشتري بضاعه,False
لتقطت الصورة امس الجمعة لطارة الخطوط الاماراتية مقلعه دبي لى بكين الصين وعلى متنها راكب فقط يحمل الجنسية اليمنيه رايح يشتري بضاعه عرطه ويايمني مايهزك ريح,False
لتقطت الصورة الجمعة لطارة الخطوط الاماراتية مقلعه دبي لى بكين الصين وعلى متنها راكب فقط يحمل الجنسية اليمنيه رايح يشتري بضاعه عرطه ويايمني مايهزك ريح,False
لتقطت الصورة يوم الجمعة لطارة الخطوط الاماراتية مقلعه دبي لى بكين الصين وعلى متنها راكب فقط يحمل الجنسية اليمنيه رايح يشتري بضاعه عرطه,False
لتقطت الصورة اليوم الجمعة لطارة الخطوط الاماراتية مقلعه دبي لى بكين الصين وعلى متنها راكب فقط يحمل الجنسية رايح يشتري بضاعه عرطه ويايمني مايهزك ريح,False
لتقطت الصورة اليوم لطارة الخطوط الاماراتية مقلعه دبي لى بكين الصين وعلى متنها راكب فقط يحمل الجنسية اليمنيه رايح يشتري بضاعه عرطه ويايمني مايهزك ريح,False
التقطت الصورة يوم الجمعة لطارة الخطوط الاماراتية مقلعة دبي لى بكين الصين وعلى متنها راكب فقط يحمل الجنسية الفلسطينية ويعتقد بنه ينحدر صله مدينة الخليل,False
التقطت الصورة يوم الجمعة لطارة الخطوط الاماراتية مقلعة دبي لى بكين الصين وعلى متنها راكب فقط يحمل الجنسية الفلسطينية,False
لتقطت الصورة اليوم لطارة الخطوط الاماراتية اقلعت دبي لى بكين الصين وعلى متنها راكب فقط يحمل الجنسية اليمنيه رايح يشتري بضاعه عرطه,False
كورونا لتقطت الصورة اليوم لطارة الخطوط الاماراتية مقلعه دبي لى بكين الصين وعلى متنها راكب فقط يحمل الجنسية اليمنيه رايح يشتري بضاعه عرطه ويايمني مايهزك ريح,False
لتقطت الصورة الجمعة لطارة الخطوط الاماراتية مقلعه دبي لى بكين الصين وعلى متنها راكب فقط يحمل الجنسية اليمنيه رايح يشتري بضاعه عرطه,False
لتقطت الصورة اليوم لطارة الخطوط الاماراتية مقلعه دبي لى بكين الصين وعلى متنها راكب فقط يحمل الجنسية اليمنيه رايح يشتري بضاعه ويايمني مايهزك ريح,False
لتقطت الصورة يوم الجمعة لطارة الخطوط الاماراتية مقلعه دبي لى بكين الصين وعلى متنها راكب فقط يحمل الجنسية اليمنيه رايح يشتري بضاعه عرطه ويايمني مايهزك ريح,False
لتقطت الصورة اليوم الاحد لطارة الخطوط الاماراتية مقلعه دبي لى بكين الصين وعلى متنها راكب فقط يحمل الجنسية اليمنيه رايح يشتري بضاعه عرطه ويايمني مايهزك ريح,False
لتقطت الصورة اليوم الجمعة لطارة الخطوط الاماراتية مقلعه دبي لى بكين الصين وعلى متنها راكب فقط يحمل الجنسية اليمنيه رايح يشتري بضاعه مايهزه ريح ابو يمن,False
لتقطت الصورة اليوم لطارة الخطوط الاماراتية قلعت دبي لى بكين الصين وعلى متنها راكب فقط يحمل الجنسية اليمنيه رايح يشتري بضاعه عرطه ويايمني مايهزك ريح,False
لتقطت الصورة اليوم الجمعة لطارة الخطوط الاماراتية مقلعه دبي لى بكين الصين وعلى متنها راكب فقط يحمل الجنسية اليمنيه رايح يشتري بضاعه ويايمني مايهزك ريح,False
لتقطت الصورة الجمعة الماضية لطارة الخطوط الاماراتية مقلعه دبي لى بكين الصين وعلى متنها راكب فقط يحمل الجنسية اليمنيه رايح يشتري بضاعه عرطه ويايمني مايهزك ريح,False
لتقطت الصورة امس الجمعة لطارة الخطوط الاماراتية مقلعه دبي لى بكين الصين وعلى متنها راكب فقط يحمل الجنسية اليمنيه رايح يشتري بضاعه عرطه مايهزك ريح ابويمن مصاب قوما قوما فاد,False
لتقطت الصورة لطارة الخطوط الماراتية مقلعه دبي لى بكين الصين وعلى متنها راكب فقط يحمل الجنسية اليمنيه رايح يشتري بضاعه شعب مربل,False
يقال الصورة التقطت الجمعة لطارة الخطوط الاماراتية مقلعة دبي لى بكين الصين وعلى متنها راكب فقط يحمل الجنسية السورية سوري جماعه سوري تحيه لكل السوريين بقاع الارض,False
لتقطت الصورة يوم الجمعة لطارة الخطوط الاماراتية مقلعه دبي لى بكين الصين وعلى متنها راكب فقط يحمل الجنسية اليمنيه رايح يشتري بضاعه عرطه صح الكلام ده,False
عام 1720 يضرب مرض الطاعون العظيم مرسيليا الفرنسيه عام 1820 يضرب مرض الكوليريا ندويسيا والفلبين وتايلاند عام 1920 يضرب مرض النفلونزا السبانية وقد كانت كارثة بشرية تجاوز ضحاياها 100 مليون اما الن 2020 كورونا الجديد يحصد رواح العشرات الصينيين وبا فيروسي 100 سنة,False
وبا قاتل 100 سنة وسر خطير رقم 20 1720 الطاعون مرسيليا فرنسا 1820 الكوليرا اندونيسيا تايلند الفلبين 1920 الانفلونزا الاسبانية اسبانيا 2020 كورونا ووهان الصين,False
وبا قاتل 100 سنة والسر الخطير فى عام 20 1720 ضرب مدينة مرسيليا الفرنسية الطاعون العظيم وقتل 100 لف شخص 1820 حصدت الكوليرا رواح البشر فى اندونيسيا وتايلاند والفلبين وقتل 100 لف انسان 1920 كانت الانفلونزا الاسبانية تجاوز ضحاياها كثر 100 مليون انسان,False
نتشار غريب ومريب للوبة وكل مة سنة بالذات عام 1720 عام 1820 الطاعون الدملي عام 1920 2020,False
1720 طاعون وروبا 1820 كوليرا سيا 1920 نفلونزا اوربا 2020 كورونا سيا مة عام يقضى لاف البشر تسالتوا ورا الفعل ضد البشرية وذا مرتبط الفايروس برقم 20 فهذا العام يوجد 20 مكرره مرتين,False
الاوبه والفيروسات اصابت البشريه بخلال عام الطاعون الموت الاسود الكوليرا الانفلونزا الاسبانيه فيروس كورونا مة عام البشريه تتعرض لفيروس خطير وشرس والمصادفه الغريبه انو الاوبه بنفس العام مصادفه ام امر مخطط اله,False
هى مصادفة مة عام وبا كبير سنة الطاعون لف قتيل سنة الكوليرا لف قتيل سنة النفلونزا السبانية مليون قتيل سنة كورونا,False
مة عام وبا كبير سنة الطاعون لف قتيل سنة الكوليرا لف قتيل سنة النفلونزا السبانية مليون قتيل سنة كورونا والله اعلم,False
رقم مة عام يحمل كارثه بشريه,False
وبا قاتل 100 سنة والسر الخطير فى عام 20 اعرف الحكاية,False
1720 فيروس حطم البشر 1820 فيروس حطم البشر 1920 فيروس حطم البشر 2020 فيروس حطم البشر لاحضتم شي كل100 سنة يتي فيروس مجرد صدفة ام مفتلعة 20 عام قرن الزمن يتي وبا قاتل,False
وبا قاتل 100 سنة وسر خطير رقم 20,False
